stateName,state,row,col
Alaska,AK,0,0
Maine,ME,0,10
Wisconsin,WI,1,5
Vermont,VT,1,9
New Hampshire,NH,1,10
Washington,WA,2,0
Idaho,ID,2,1
Montana,MT,2,2
North Dakota,ND,2,3
Minnesota,MN,2,4
Illinois,IL,2,5
Michigan,MI,2,6
New York,NY,2,8
Massachusetts,MA,2,9
Oregon,OR,3,0
Nevada,NV,3,1
Wyoming,WY,3,2
South Dakota,SD,3,3
Iowa,IA,3,4
Indiana,IN,3,5
Ohio,OH,3,6
Pennsylvania,PA,3,7
New Jersey,NJ,3,8
Connecticut,CT,3,9
Rhode Island,RI,3,10
California,CA,4,0
Utah,UT,4,1
Colorado,CO,4,2
Nebraska,NE,4,3
Misssouri,MO,4,4
Kentucky,KY,4,5
West Virginia,WV,4,6
Virginia,VA,4,7
Maryland,MD,4,8
Delaware,DE,4,9
Arizona,AZ,5,1
New Mexico,NM,5,2
Kansas,KS,5,3
Arkansas,AR,5,4
Tennessee,TN,5,5
North Carolina,NC,5,6
South Carolina,SC,5,7
Washington DC,DC,5,8
Oklahoma,OK,6,3
Louisiana,LA,6,4
Mississippi,MS,6,5
Alabama,AL,6,6
Georgia,GA,6,7
Hawaii,HI,7,0
Texas,TX,7,3
Florida,FL,7,8
